ard_micro,pulse
8.704448,420
8.71508,418
8.725724,418
8.736348,425
8.746972,441
8.757612,478
8.76824,535
8.778876,620
8.789516,725
8.800164,839
8.810804,950
8.82144,971
8.832076,970
8.8427,971
8.853344,971
8.863988,970
8.874628,971
8.885256,970
8.895892,929
8.906536,857
8.91718,786
8.927804,722
8.93844,666
8.949084,622
8.959724,588
8.970372,561
8.980996,539
8.991636,520
9.002276,499
9.012904,480
9.023524,459
9.034164,439
9.0448,420
9.055432,407
9.066068,399
9.076692,396
9.087332,398
9.097972,405
9.108604,415
9.119244,427
9.129888,439
9.140532,448
9.151172,455
9.161812,459
9.172452,458
9.183096,455
9.19374,448
9.20438,439
9.215004,427
9.225644,415
9.23628,403
9.246924,392
9.257552,382
9.268188,373
9.278828,367
9.289452,363
9.300092,362
9.31072,364
9.32136,365
9.332004,369
9.342628,375
9.353268,381
9.363908,387
9.374544,393
9.385188,398
9.395816,405
9.406452,410
9.417084,414
9.427724,417
9.438364,419
9.449004,421
9.45964,421
9.470284,422
9.480924,421
9.491564,419
9.502204,420
9.512848,419
9.523492,419
9.534116,416
9.544756,416
9.55538,415
9.566024,414
9.576668,414
9.587308,413
9.597932,414
9.608572,416
9.619196,418
9.629828,420
9.640468,422
9.651104,424
9.661748,426
9.672388,427
9.683028,430
9.693656,429
9.704296,428
9.71494,428
9.72558,427
9.73622,430
9.74686,442
9.757504,471
9.768148,523
9.778788,602
9.789432,704
9.800076,818
9.8107,931
9.82134,971
9.83198,970
9.84262,971
9.85326,971
9.863884,970
9.874524,970
9.885148,970
9.895792,971
9.906436,938
9.917076,866
9.927716,801
9.93834,740
9.948988,690
9.959628,650
9.970256,618
9.980892,593
9.991532,571
10.002172,549
