time,pulse
15.965588,443
15.982272,432
15.998948,423
16.015632,421
16.032308,423
16.048984,433
16.065664,467
16.08234,537
16.099024,640
16.115708,752
16.132392,844
16.149068,896
16.165744,895
16.182428,848
16.199108,767
16.215792,667
16.232476,568
16.249156,476
16.265832,395
16.282508,334
16.299196,299
16.315876,292
16.332564,312
16.349248,355
16.365928,409
16.382612,462
16.399292,505
16.415972,532
16.432652,539
16.449332,532
16.466012,516
16.482692,494
16.499368,468
16.516048,445
16.532728,428
16.549404,417
16.566084,412
16.582768,411
16.599444,418
16.616128,437
16.632808,484
16.649492,566
16.666168,666
16.682844,769
16.699528,846
16.716204,880
16.732888,865
16.74958,811
16.76626,732
16.782936,639
16.799616,543
16.8163,450
16.83298,371
16.849664,311
16.866348,278
16.883028,274
16.899708,298
16.916384,346
16.933068,407
16.949748,466
16.966432,513
16.983116,544
16.999792,554
17.016476,544
17.03316,522
17.049844,492
17.06652,462
17.083204,436
17.099888,418
17.116564,403
17.133252,396
17.149932,396
17.16662,407
17.183296,437
17.199972,502
17.216656,600
17.233332,710
17.250016,806
17.2667,863
17.28338,872
17.300056,836
17.316732,768
17.333416,680
17.350092,590
17.366776,502
17.38346,423
17.40014,357
17.41682,310
17.433496,290
17.45018,299
17.466856,329
17.483536,375
17.50022,427
17.5169,472
17.533584,504
17.550268,524
17.566948,527
17.583628,520
17.600312,505
17.616996,484
17.633672,460
17.650352,437
17.667032,417
17.683716,405
17.700396,399
17.717072,403
17.733756,430
17.750432,493
17.767112,595
17.783796,715
17.800484,827
17.817164,903
17.833844,924
17.850528,888
17.867204,810
17.883892,707
17.900576,595
17.917252,486
17.933932,394
17.950612,323
17.967296,281
17.983972,268
18.000656,288
18.01734,331
18.03402,388
18.050704,446
18.06738,494
18.084064,522
18.10074,532
18.117424,525
18.134108,508
18.150788,483
18.167476,456
18.184152,427
18.200836,403
18.217512,384
18.234188,374
18.250876,372
18.267552,379
18.284236,407
18.30092,473
18.317604,582
18.334284,720
18.350968,855
18.367648,953
18.384324,972
18.401008,972
18.417692,905
18.434368,812
18.451044,702
18.46772,588
18.484404,486
18.501084,400
18.517764,338
18.534448,301
18.551124,294
18.567804,311
18.584484,344
18.601168,383
18.617844,420
18.634532,445
18.651216,455
18.667892,453
18.684576,436
18.701252,420
18.717936,401
18.734616,382
18.751296,367
18.76798,355
18.78466,349
18.801344,345
18.81802,347
18.834704,358
18.851384,389
18.868068,461
18.884748,577
18.901428,721
18.918112,856
18.934796,958
18.951476,972
18.968156,972
18.984836,931
19.00152,841
19.018196,736
19.03488,625
19.051564,522
19.068244,435
19.084924,376
19.1016,345
19.118284,343
19.134964,364
19.151648,403
19.168332,448
19.185012,489
19.201696,515
19.218372,525
19.235056,519
19.251736,501
19.268416,475
19.2851,445
19.30178,414
19.318464,385
19.335144,362
19.351828,345
19.368508,331
19.385188,324
19.401872,321
19.418552,331
19.43524,374
19.451924,462
19.468604,589
19.485284,729
19.501964,843
19.518652,909
19.535332,917
19.552016,870
19.5687,784
19.58538,672
19.602064,558
19.61874,452
19.635424,365
19.6521,303
19.668788,274
19.685472,280
19.702148,320
19.718832,383
19.735508,458
19.752192,529
19.768872,584
19.785548,613
19.802236,618
19.818916,601
19.8356,574
19.852284,542
19.868968,507
19.885644,474
19.902324,444
19.919012,422
19.935692,406
19.95238,393
19.969064,385
19.98574,381
20.00242,385
20.019096,415
20.03578,484
20.052456,596
20.06914,723
20.085828,829
20.102504,890
20.119188,894
20.135872,845
20.152556,758
20.169236,650
20.18592,536
20.202604,428
20.21928,338
20.23596,270
20.25264,228
20.269324,224
20.286004,254
20.302684,309
20.319372,377
20.336052,448
20.352736,512
20.36942,561
20.3861,590
20.40278,595
20.419464,585
20.436148,562
20.452828,534
20.469516,507
20.486204,479
20.50288,458
20.519564,441
20.536244,426
20.552924,413
20.569604,408
20.58628,426
20.602964,482
20.619644,579
20.636328,695
20.653004,802
20.669688,868
20.686364,884
20.703044,844
20.719728,768
20.736408,669
20.753088,562
20.769768,460
20.786452,369
20.803132,297
20.819808,252
20.836492,247
20.853168,273
20.869852,325
20.88654,392
20.903216,462
20.919892,522
20.936572,564
20.95326,587
20.96994,591
20.986624,577
21.003308,548
21.019984,510
21.03666,472
21.05334,437
21.070032,406
21.086708,382
21.103392,363
21.120076,352
21.136756,345
21.153432,353
21.170108,396
21.186792,485
21.203468,618
21.220152,762
21.236836,883
21.253512,954
21.270196,965
21.286876,922
21.30356,841
21.320236,740
21.336912,631
21.353596,527
21.370276,437
21.38696,366
21.403644,325
21.420328,313
21.437004,324
21.453684,358
21.470368,406
21.487048,455
21.503728,495
21.520412,521
21.537092,530
21.553768,519
21.570444,495
21.587128,461
21.603804,422
21.620488,392
21.637172,369
21.653848,354
21.670524,351
21.6872,353
21.703884,366
21.720564,384
21.737248,407
21.753932,447
21.770612,517
21.787296,626
21.803976,762
21.82066,895
21.83734,972
21.85402,972
21.870704,972
21.887384,952
21.904072,844
21.920756,716
21.93744,583
21.954116,463
21.970796,365
21.98748,292
22.004156,252
22.02084,244
22.037524,264
22.0542,305
22.07088,361
22.08756,419
22.104244,468
22.120924,500
22.137608,513
22.154292,515
22.170972,506
22.187652,491
22.204332,477
22.22102,463
22.237696,449
22.254376,435
22.27106,423
22.28774,409
22.304424,399
22.321104,392
22.337788,390
22.354468,402
22.371144,449
22.387828,544
22.404508,678
22.421192,818
22.437876,929
22.454564,972
22.47124,972
22.48792,922
22.504608,826
22.521284,713
22.537968,592
22.554652,479
22.571332,375
22.588012,289
22.604692,233
22.621376,214
22.638052,232
22.654736,282
22.67142,351
22.6881,427
22.70478,493
22.72146,539
22.73814,562
22.75482,560
22.771504,540
22.788188,508
22.804868,470
22.821552,433
22.838232,403
22.854916,382
22.871596,371
22.88828,367
22.904964,371
22.92164,379
22.93832,401
22.955004,452
22.971688,549
22.988364,682
23.005048,817
23.021728,921
23.038404,968
23.055088,953
23.071772,888
23.088452,785
23.105132,661
23.121812,531
23.1385,413
23.15518,316
23.171864,246
23.188548,213
23.205224,217
23.221904,251
23.238584,308
23.255268,371
23.271948,434
23.288632,483
23.305316,515
23.321996,530
23.33868,528
23.35536,513
23.372044,489
23.38872,460
23.4054,432
23.422084,408
23.43876,390
23.455444,378
23.472132,370
23.488812,369
23.505492,375
23.522172,396
23.53886,448
23.55554,545
23.572224,681
23.588908,826
23.605588,944
23.622268,972
23.638948,972
23.655632,929
23.672308,828
23.688992,704
23.705676,575
23.722356,454
23.73904,352
23.75572,274
23.772408,227
23.789084,218
23.805764,245
23.822448,298
23.839128,363
23.855808,427
23.872492,485
23.88918,527
23.905856,547
23.922536,543
23.93922,526
23.9559,499
23.972584,470
23.989268,441
24.005948,416
24.022628,396
24.039304,383
24.055988,375
24.072668,373
24.089352,376
24.106036,384
24.122716,406
24.1394,457
24.15608,553
24.172764,690
24.189444,838
24.206128,956
24.222812,972
24.239492,972
24.256176,961
24.272856,863
24.28954,740
24.30622,608
24.322896,484
24.33958,376
24.35626,290
24.372944,235
24.389628,219
24.406316,239
24.422992,286
24.439668,348
24.456356,412
24.473032,467
24.489716,505
24.5064,523
24.52308,523
24.53976,513
24.55644,493
24.573124,469
24.589804,444
24.606488,422
24.623172,408
24.639852,401
24.656536,399
24.673212,404
24.689896,409
24.706576,414
24.723256,420
24.73994,441
24.75662,500
24.773304,607
24.789984,745
24.806668,878
24.823344,970
24.84002,972
24.8567,972
24.87338,905
24.890064,796
24.906748,669
24.923432,537
24.940112,416
24.956792,317
24.97348,242
24.990156,210
25.00684,215
25.023524,254
25.040204,316
25.056884,384
25.073564,447
25.090248,494
25.106928,520
25.123608,526
25.140292,513
25.156972,490
25.173656,464
25.190336,438
25.207024,420
25.223704,405
25.240388,392
25.257072,381
25.273752,377
25.29044,378
25.307128,387
25.323812,406
25.340492,454
25.357172,540
25.373856,661
25.390536,792
25.407224,899
25.423908,955
25.440588,956
25.457268,905
25.473952,815
25.490636,698
25.507316,571
25.524004,450
25.540688,343
25.557368,261
25.574052,211
25.590732,199
25.607416,223
25.624092,272
25.640772,333
25.657456,399
25.674132,456
25.690816,493
25.707492,513
25.724176,513
25.740852,501
25.757532,482
25.77422,464
25.790896,449
25.80758,438
25.824264,435
25.84094,439
25.857616,444
25.874292,452
25.89098,464
25.907656,478
25.92434,511
25.941024,582
25.9577,694
25.97438,828
25.99106,944
26.007748,972
26.024428,972
26.041112,959
26.0578,859
26.07448,734
26.091168,600
26.107848,477
26.124532,373
26.141212,296
26.157892,249
26.17458,235
26.191256,250
26.20794,292
26.224624,351
26.241308,416
26.257984,477
26.274664,527
26.291344,559
26.30802,569
26.324704,563
26.341388,546
26.358068,521
26.374744,490
26.39142,456
26.408104,423
26.42478,397
26.441464,376
26.458148,365
26.474828,363
26.491508,371
26.508184,395
26.524868,455
26.541544,564
26.558224,716
26.574908,880
26.591588,972
26.608272,972
26.624952,972
26.641636,973
26.658316,937
26.675,812
26.691684,673
26.70836,537
26.725044,414
26.741724,314
26.758412,244
26.775088,218
26.791764,233
26.808448,280
26.825124,348
26.841808,418
26.858488,479
26.875172,526
26.891852,553
26.908528,559
26.925212,546
26.941888,521
26.958572,490
26.975256,455
26.991932,420
27.008612,394
27.025288,377
27.041972,368
27.058648,362
27.075328,362
27.092012,367
27.108688,383
27.125364,427
27.142044,514
27.158732,646
27.175408,798
27.192092,933
27.20878,972
27.225456,972
27.242136,972
27.258812,923
27.275496,807
27.292176,674
27.30886,541
27.325544,416
27.342224,315
27.358908,246
27.375592,217
27.392276,226
27.408952,265
27.425632,328
27.442316,395
27.458996,458
27.47568,505
27.492364,530
27.509044,532
27.525724,518
27.542404,494
27.559088,464
27.575764,435
27.592448,411
27.609132,393
27.625812,383
27.642492,379
27.659168,378
27.675852,385
27.692532,403
27.709216,445
27.7259,528
27.74258,655
27.759264,801
27.775944,929
27.792628,972
27.809308,972
27.825988,972
27.842676,880
27.859356,762
27.87604,632
27.892728,502
27.909412,385
27.926088,291
27.942764,225
27.959448,195
27.976124,203
27.992808,245
28.009492,310
28.026172,381
28.042852,447
28.059532,495
28.076212,518
28.092892,524
28.109576,507
28.12626,483
28.14294,456
28.159624,427
28.176312,401
