TestFile,Answer,Prediction
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,90-100
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,90-100,0-90
shampoo,0-90,90-100
shampoo,90-100,90-100
shampoo,90-100,0-90
shampoo,90-100,90-100
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,0-90
