TestFile,Epoch,Answer,Prediction
1_mp3,500,35,25
1_mp3,500,30,50
1_mp3,500,72,37
1_mp3,500,22,40
1_mp3,500,78,49
1_mp3,500,41,54
1_mp3,500,84,82
1_mp3,500,70,53
1_mp3,510,91,56
1_mp3,510,36,63
1_mp3,510,14,53
1_mp3,510,98,90
1_mp3,510,33,42
1_mp3,510,30,41
1_mp3,510,72,41
1_mp3,510,7,58
1_mp3,510,36,32
1_mp3,510,28,93
1_mp3,520,77,63
1_mp3,520,69,75
1_mp3,520,86,51
1_mp3,520,9,51
1_mp3,520,18,61
1_mp3,520,14,80
1_mp3,520,41,37
1_mp3,520,64,81
1_mp3,520,39,30
1_mp3,520,7,57
1_mp3,530,92,71
1_mp3,530,63,66
1_mp3,530,63,53
1_mp3,530,39,69
1_mp3,530,58,82
1_mp3,530,39,79
1_mp3,530,65,69
1_mp3,530,15,51
1_mp3,530,53,69
1_mp3,530,22,55
1_mp3,540,6,82
1_mp3,540,79,62
1_mp3,540,23,36
1_mp3,540,13,62
1_mp3,540,60,73
1_mp3,540,8,64
1_mp3,540,89,77
1_mp3,540,85,100
1_mp3,540,90,100
1_mp3,540,55,66
1_mp3,550,87,50
1_mp3,550,58,63
1_mp3,550,11,27
1_mp3,550,75,88
1_mp3,550,66,69
1_mp3,550,97,54
1_mp3,550,73,75
1_mp3,550,6,41
1_mp3,550,18,77
1_mp3,550,76,67
1_mp3,560,2,43
1_mp3,560,50,50
1_mp3,560,55,59
1_mp3,560,18,49
1_mp3,560,84,60
1_mp3,560,81,81
1_mp3,560,4,66
1_mp3,560,93,76
1_mp3,560,6,48
1_mp3,560,71,54
1_mp3,570,49,37
1_mp3,570,11,50
1_mp3,570,77,51
1_mp3,570,53,61
1_mp3,570,60,70
1_mp3,570,70,57
1_mp3,570,13,26
1_mp3,570,32,29
1_mp3,570,50,68
1_mp3,570,78,66
1_mp3,580,64,78
1_mp3,580,36,54
1_mp3,580,65,56
1_mp3,580,62,54
1_mp3,580,88,97
1_mp3,580,94,87
1_mp3,580,14,62
1_mp3,580,5,52
1_mp3,580,82,100
1_mp3,580,77,68
1_mp3,590,33,48
1_mp3,590,40,50
1_mp3,590,44,43
1_mp3,590,92,65
1_mp3,590,35,27
1_mp3,590,24,47
1_mp3,590,68,45
1_mp3,590,40,31
1_mp3,590,79,100
1_mp3,590,12,41
1_mp3,600,42,34
1_mp3,600,61,31
1_mp3,600,14,56
1_mp3,600,84,88
1_mp3,600,21,32
1_mp3,600,12,31
1_mp3,600,52,59
1_mp3,600,63,59
1_mp3,600,18,24
1_mp3,600,87,58
1_mp3,610,45,40
1_mp3,610,6,27
1_mp3,610,82,47
1_mp3,610,56,54
1_mp3,610,31,23
1_mp3,610,68,75
1_mp3,610,51,38
1_mp3,610,59,67
1_mp3,610,67,50
1_mp3,610,77,81
