Epoch,Answer,Prediction
coffee_1,470,45,62
coffee_1,470,65,88
coffee_1,480,8,17
coffee_1,480,94,66
coffee_1,480,49,53
coffee_1,480,91,67
coffee_1,480,28,15
coffee_1,480,38,41
coffee_1,480,61,66
coffee_1,480,90,65
coffee_1,480,45,57
coffee_1,480,16,4
coffee_1,490,72,87
coffee_1,490,34,25
coffee_1,490,76,67
coffee_1,490,76,81
coffee_1,490,10,6
coffee_1,490,57,76
coffee_1,490,98,61
coffee_1,490,16,0
coffee_1,490,99,54
coffee_1,490,35,29
coffee_1,500,49,51
coffee_1,500,32,5
coffee_1,500,89,85
coffee_1,500,24,0
coffee_1,500,57,65
coffee_1,500,89,70
coffee_1,500,14,14
coffee_1,500,20,9
coffee_1,500,55,52
coffee_1,500,48,47
coffee_1,510,91,48
coffee_1,510,42,48
coffee_1,510,77,80
coffee_1,510,40,53
coffee_1,510,93,43
coffee_1,510,55,41
coffee_1,510,72,88
coffee_1,510,90,71
coffee_1,510,46,19
coffee_1,510,81,70
coffee_1,520,92,45
coffee_1,520,41,49
coffee_1,520,39,65
coffee_1,520,46,42
coffee_1,520,17,30
coffee_1,520,64,83
coffee_1,520,51,56
coffee_1,520,21,30
coffee_1,520,74,83
coffee_1,520,20,14
coffee_1,530,94,70
coffee_1,530,19,43
coffee_1,530,84,71
coffee_1,530,27,15
coffee_1,530,11,26
coffee_1,530,52,52
coffee_1,530,79,75
coffee_1,530,62,70
coffee_1,530,22,14
coffee_1,530,36,51
coffee_1,540,26,0
coffee_1,540,38,46
coffee_1,540,58,61
coffee_1,540,33,41
coffee_1,540,45,38
coffee_1,540,42,65
coffee_1,540,24,27
coffee_1,540,27,18
coffee_1,540,36,54
coffee_1,540,59,83
coffee_1,550,66,83
coffee_1,550,64,87
coffee_1,550,58,73
coffee_1,550,62,71
coffee_1,550,55,75
coffee_1,550,37,64
coffee_1,550,95,42
coffee_1,550,46,32
coffee_1,550,14,0
coffee_1,550,58,70
coffee_1,560,88,90
coffee_1,560,97,93
coffee_1,560,69,77
coffee_1,560,14,22
coffee_1,560,26,22
coffee_1,560,27,34
coffee_1,560,25,0
coffee_1,560,24,1
coffee_1,560,43,42
coffee_1,560,61,64
coffee_1,570,12,16
coffee_1,570,46,22
coffee_1,570,19,43
coffee_1,570,44,41
coffee_1,570,35,32
coffee_1,570,8,12
coffee_1,570,53,47
coffee_1,570,33,37
coffee_1,570,69,79
coffee_1,570,84,71
coffee_1,580,27,0
coffee_1,580,61,80
coffee_1,580,19,17
coffee_1,580,61,76
coffee_1,580,27,0
coffee_1,580,53,53
coffee_1,580,44,42
coffee_1,580,98,59
coffee_1,580,19,19
coffee_1,580,72,81
coffee_1,590,73,82
coffee_1,590,10,7
coffee_1,590,44,45
coffee_1,590,24,16
coffee_1,590,94,68
coffee_1,590,45,30
coffee_1,590,95,72
coffee_1,590,26,32
coffee_1,590,78,78
coffee_1,590,81,74
coffee_1,600,79,68
coffee_1,600,10,0
coffee_1,600,33,37
coffee_1,600,86,72
coffee_1,600,57,69
coffee_1,600,68,81
coffee_1,600,69,81
coffee_1,600,18,17
coffee_1,600,11,1
coffee_1,600,8,18
coffee_1,610,15,2
coffee_1,610,98,40
coffee_1,610,31,18
coffee_1,610,31,36
coffee_1,610,87,59
coffee_1,610,52,56
coffee_1,610,53,64
coffee_1,610,16,3
coffee_1,610,91,86
coffee_1,610,94,79
coffee_1,620,82,72
coffee_1,620,85,70
coffee_1,620,17,8
coffee_1,620,82,73
coffee_1,620,59,57
coffee_1,620,88,91
coffee_1,620,30,8
coffee_1,620,85,72
coffee_1,620,51,56
coffee_1,620,72,85
coffee_1,630,91,74
coffee_1,630,90,75
coffee_1,630,19,36
coffee_1,630,70,78
coffee_1,630,97,81
coffee_1,630,47,53
coffee_1,630,90,75
coffee_1,630,74,68
coffee_1,630,59,56
coffee_1,630,74,83
coffee_1,640,62,67
coffee_1,640,43,44
coffee_1,640,85,75
coffee_1,640,84,100
coffee_1,640,35,28
coffee_1,640,55,61
coffee_1,640,74,82
coffee_1,640,10,11
coffee_1,640,55,74
coffee_1,640,56,71
coffee_1,650,54,68
coffee_1,650,40,40
coffee_1,650,34,33
coffee_1,650,21,11
coffee_1,650,79,100
coffee_1,650,34,29
coffee_1,650,73,69
coffee_1,650,69,77
coffee_1,650,35,31
coffee_1,650,77,100
coffee_1,660,10,5
coffee_1,660,64,79
coffee_1,660,70,84
coffee_1,660,30,0
coffee_1,660,18,0
coffee_1,660,16,7
coffee_1,660,8,12
coffee_1,660,8,11
coffee_1,660,30,6
coffee_1,660,12,0
coffee_1,670,30,11
coffee_1,670,37,25
coffee_1,670,25,23
coffee_1,670,86,76
coffee_1,670,68,99
coffee_1,670,87,76
coffee_1,670,90,95
coffee_1,670,34,33
coffee_1,670,92,75
coffee_1,670,97,69
coffee_1,680,18,12
coffee_1,680,25,7
coffee_1,680,66,68
coffee_1,680,72,69
coffee_1,680,54,44
coffee_1,680,64,68
coffee_1,680,89,78
coffee_1,680,45,36
coffee_1,680,13,0
coffee_1,680,53,66
coffee_1,690,25,0
coffee_1,690,83,73
coffee_1,690,17,11
coffee_1,690,40,54
coffee_1,690,10,16
coffee_1,690,14,0
coffee_1,690,14,8
coffee_1,690,86,62
coffee_1,690,63,81
coffee_1,690,29,42
coffee_1,700,18,17
coffee_1,700,44,38
coffee_1,700,74,84
coffee_1,700,69,76
coffee_1,700,27,0
coffee_1,700,47,51
coffee_1,700,54,45
coffee_1,700,40,44
coffee_1,700,37,30
coffee_1,700,61,78
coffee_1,710,23,5
coffee_1,710,54,69
coffee_1,710,58,62
coffee_1,710,83,72
coffee_1,710,85,74
coffee_1,710,32,12
coffee_1,710,56,68
coffee_1,710,99,93
coffee_1,710,10,9
coffee_1,710,32,22
coffee_1,720,97,64
coffee_1,720,98,62
coffee_1,720,64,74
coffee_1,720,11,4
coffee_1,720,43,45
coffee_1,720,85,73
coffee_1,720,57,76
coffee_1,720,97,70
