,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
622,7404339306,106523872404,0.4660182893276214,1.295655369758606,-18.75789833068848,-66.60050201416016,-31.077659606933597,1,5.690704345703125,1,-54.94163513183594,-137.52963256835938,466.0728149414063,0.6567524671554565,0.8927174210548401,0.178073301911354,1,0.5302033424377441,1.3732153177261353,16.672266006469727,-89.23049926757812,-39.31426239013672,1,5.77362060546875,1,10.019600868225098,-137.6965789794922,469.2840881347656,0.4713453650474548,0.8905022740364075,0.1783420443534851,1
625,7404389226,106523922325,0.4746401309967041,1.2736908197402954,-13.998647689819336,-60.19184494018555,-28.745031356811523,1,5.6719818115234375,1,-55.18432235717773,-135.7483673095703,464.4300231933594,0.658003568649292,0.8890000581741333,0.1739983558654785,1,0.5235146284103394,1.3507362604141235,12.980082511901855,-82.6717300415039,-36.927059173583984,1,5.749114990234375,1,9.600001335144045,-135.96189880371094,467.6885681152344,0.4724430739879608,0.8868961930274963,0.1742902845144271,1
628,7404439146,106523972246,0.4727223813533783,1.2579156160354614,-15.05723476409912,-55.58902359008789,-27.069772720336918,1,5.70147705078125,1,-55.18502807617188,-134.08192443847656,462.7928466796875,0.6585653424263,0.8855819702148438,0.1699496507644653,1,0.5287057757377625,1.3400148153305054,15.845595359802246,-79.5434799194336,-35.78844451904297,1,5.737350463867188,1,9.334007263183594,-134.2468719482422,466.04345703125,0.4731065928936004,0.8833622932434082,0.1701666861772537,1
631,7404489066,106524022168,0.5126758217811584,1.2459452152252195,6.997066974639893,-52.0963134765625,-25.79853630065918,1,5.685821533203125,1,-54.63399124145508,-132.41827392578125,461.91021728515625,0.6572802066802979,0.881523072719574,0.1672238707542419,1,0.5772795677185059,1.3615323305130005,42.65829849243164,-85.82167053222656,-38.0735969543457,1,5.716232299804688,1,9.84697723388672,-132.63418579101562,465.21826171875,0.4715910255908966,0.8794265985488892,0.1677124053239822,1
634,7404538986,106524072088,0.5258816480636597,1.2258740663528442,14.286730766296388,-46.24007034301758,-23.667041778564453,1,5.611129760742188,1,-53.34313201904297,-130.39833068847656,460.76507568359375,0.6539409756660461,0.8766340613365173,0.1636465489864349,1,0.5927921533584595,1.3419771194458008,51.22127532958984,-80.11602020263672,-35.996864318847656,1,5.698577880859375,1,10.853890419006348,-130.88421630859375,463.7676086425781,0.4686116278171539,0.8755893111228943,0.1640101373195648,1
640,7404638826,106524171928,0.6494367122650146,0.4023050665855407,82.48909759521484,194.05642700195312,63.79371643066406,1,5.811813354492188,1,-48.1970329284668,-123.262451171875,460.8811950683594,0.6390333771705627,0.85592120885849,0.1590162366628646,1,0.7941946387290955,0.4780914783477783,162.39541625976562,171.9438934326172,55.74540710449219,1,5.71868896484375,1,15.66852569580078,-125.0768051147461,462.9449462890625,0.4547072649002075,0.8595525622367859,0.1595993041992187,1
643,7404688746,106524221848,0.6788182854652405,0.4086489975452423,98.70769500732422,192.2054443359375,63.12000274658203,1,5.8845977783203125,1,-46.08243942260742,-121.85063934326172,466.3157958984375,0.6313719749450684,0.8477389812469482,0.1683420985937118,1,0.8035717010498047,0.4628326892852783,167.5715789794922,176.39601135253906,57.36587524414063,1,5.7874603271484375,1,18.17500686645508,-124.5063018798828,468.6200256347656,0.4481306374073028,0.8535744547843933,0.1704367697238922,1
646,7404738666,106524271768,0.6984471678733826,0.4024677872657776,109.54280853271484,194.00897216796875,63.776466369628906,1,5.959396362304688,1,-44.34886932373047,-122.35743713378906,472.23822021484375,0.6248331665992737,0.8448042869567871,0.1796879321336746,1,0.7967325448989868,0.4655036926269531,163.79637145996094,175.61669921875,57.082176208496094,1,5.8332366943359375,1,20.404176712036133,-125.80158996582033,474.4475708007813,0.4425083696842193,0.8528642654418945,0.1825332045555114,1
649,7404788586,106524321689,0.7053654193878174,0.392765074968338,113.3617172241211,196.8399658203125,64.80683135986328,1,5.99176025390625,1,-42.952598571777344,-121.64480590820312,476.5444641113281,0.6198014616966248,0.8396950960159302,0.1873945295810699,1,0.795921802520752,0.4488547742366791,163.3488311767578,180.47439575195312,58.85031127929688,1,5.87139892578125,1,22.058578491210938,-125.41741180419922,478.7756958007813,0.4384246468544006,0.8486038446426392,0.1908426582813263,1
652,7404838515,106524371618,0.7160072922706604,0.3835502564907074,119.23607635498048,199.5286102294922,65.78543090820312,1,6.032928466796875,1,-42.04488754272461,-122.14329528808594,479.9178466796875,0.616439163684845,0.8386889696121216,0.1939977407455444,1,0.8048199415206909,0.4375741481781006,168.26060485839844,183.7657928466797,60.04827117919922,1,5.911788940429688,1,23.28573989868164,-126.3451156616211,482.1283264160156,0.4354618787765503,0.8487405180931091,0.1979038715362548,1
655,7404888435,106524421538,0.7266350388526917,0.3680168390274048,125.10253143310548,204.06085205078125,67.43505096435547,1,6.053680419921875,1,-41.41426467895508,-123.78971862792967,482.91607666015625,0.6139759421348572,0.8411247134208679,0.2004938423633575,1,0.8144461512565613,0.4412200450897217,173.57431030273438,182.7020263671875,59.66104888916016,1,5.95013427734375,1,24.239727020263672,-128.00238037109375,485.2102966308594,0.433252215385437,0.8510722517967224,0.2047909498214721,1
658,7404938355,106524471458,0.7337541580200195,0.37309131026268,129.03228759765625,202.5802459716797,66.89612579345703,1,6.0750274658203125,1,-40.97407531738281,-124.7484130859375,485.3258056640625,0.6122011542320251,0.842060387134552,0.205548956990242,1,0.809980571269989,0.4336236715316772,171.1092529296875,184.91845703125,60.4677963256836,1,5.990081787109375,1,24.99340057373047,-129.10406494140625,487.5401611328125,0.4315116107463836,0.8524025082588196,0.2099266350269317,1
661,7404988275,106524521378,0.7334396839141846,0.3715178370475769,128.85865783691406,203.0393829345703,67.0632553100586,1,6.0951690673828125,1,-40.53628921508789,-125.7816390991211,486.7612915039063,0.6106719374656677,0.8438775539398193,0.2087631225585937,1,0.8165761232376099,0.4261401891708374,174.75001525878906,187.1019287109375,61.26251602172852,1,6.006988525390625,1,25.589136123657227,-130.13011169433594,488.8410339355469,0.4300704598426819,0.8542591333389282,0.2130236178636551,1
664,7405038195,106524571298,0.7405214309692383,0.3701455891132355,132.76783752441406,203.43975830078125,67.20899200439453,1,6.1082305908203125,1,-40.31480026245117,-126.57185363769533,488.2250061035156,0.6097353100776672,0.845001220703125,0.2119473814964294,1,0.8212500810623169,0.4227504730224609,177.3300018310547,188.0909576416016,61.62252426147461,1,6.0214385986328125,1,25.968114852905277,-130.9815216064453,490.3638610839844,0.4292577803134918,0.8554703593254089,0.2164393365383148,1
667,7405088115,106524621218,0.7358341813087463,0.3660261332988739,130.1804656982422,204.64170837402344,67.646484375,1,6.1258392333984375,1,-40.46799087524414,-128.25119018554688,489.9678039550781,0.609760582447052,0.8483373522758484,0.2161781042814254,1,0.8241473436355591,0.4090831577777862,178.9293212890625,192.0787506103516,63.07393264770508,1,6.0587310791015625,1,25.96914291381836,-132.55889892578125,492.178466796875,0.42951500415802,0.8584266901016235,0.2207563519477844,1
670,7405138035,106524671138,0.7388021349906921,0.3621599674224853,131.8187713623047,205.76974487304688,68.05702209472656,1,6.141769409179688,1,-41.03675079345703,-128.80166625976562,491.57269287109375,0.6109422445297241,0.8486905694007874,0.2196423411369323,1,0.8199237585067749,0.4161631762981415,176.59791564941406,190.01300048828125,62.3220329284668,1,6.060150146484375,1,25.53623962402344,-132.9116973876953,493.841064453125,0.4309188425540924,0.8581705093383789,0.2241027802228927,1
673,7405187946,106524721049,0.7436845302581787,0.3517298400402069,134.5138702392578,208.81298828125,69.1646957397461,1,6.166183471679688,1,-42.1482048034668,-131.0151824951172,493.7589721679688,0.6134474873542786,0.8531153798103333,0.2251622378826141,1,0.8220437169075012,0.4210400283336639,177.76812744140625,188.5900421142578,61.80411529541016,1,6.0885772705078125,1,24.735889434814453,-134.89874267578125,496.16790771484375,0.4333897829055786,0.8618227243423462,0.2295477241277694,1
