X,Y,Z
-0.15182161,-0.01920986,-0.07683694
-0.06595743,0.00060558,-0.06846362
0.07292026,0.05770016,-0.15111572
0.03125525,-0.00683784,-0.07749045
0.56317234,0.31817532,-0.32807481
0.13876677,0.04389954,-0.32307267
-0.88623369,-1.86887836,1.39326143
-0.16897058,0.32765198,1.97292316
0.33663523,-0.33758545,-0.80695677
-0.59460449,0.00485992,-0.10826987
-0.88822317,-0.22066212,0.25017688
-0.04979002,0.10277081,0.22057423
0.20455551,0.01890755,-0.18628693
-0.21196723,-0.07459736,0.04259264
-0.25088501,-0.03643322,-0.19112705
-0.16473621,-0.05418491,-0.12324163
-0.32318687,-0.07973480000000001,-0.12376666
0.11597788,0.00282955,-0.12793171
0.40233216,0.12957764,0.57481599
0.55699742,0.06789875,0.60452521
0.13345766,-0.57584286,0.69226849
0.1109013,0.12259483,0.43479383
0.11632305,-0.07274246,0.52969635
0.21180573,0.00739193,0.27720571
0.0673098,0.005865100000000001,0.2384243
0.05494401,0.01464367,0.19353163
-0.06619737,-0.006462100000000001,0.01947784
-0.01095137,0.01444721,0.07889247
0.00108522,-0.00268364,0.04992867
-0.04232207,-0.01237583,-0.01579249
-0.03145382,-0.00177288,-0.02266383
-0.0666385,-0.02288532,0.00728452
0.02271327,0.03419781,-0.09799421
0.14739385,0.03015423,0.06339443
0.10464296,-0.00378799,-0.00156677
0.03559807,0.01312447,-0.00247955
0.02450281,0.00096416,0.05083025
-0.07229662,-0.03932285,0.01489031
-0.08210236,-0.01760769,-0.01587594
-0.03211042,0.00391865,-0.02248299
-0.01940697,0.00215054,0.0030539
0.0408943,0.01360321,-0.00043762
-0.00230703,0.00094318,-0.01714456
0.00246838,0.00568485,0.02192867
0.01907992,-0.00090694,-0.00399649
-0.12464672,-0.00678349,-0.01752913
0.04160854,-0.00268269,-0.02241194
0.00156862,0.00831413,0.00233233
0.10177301,-0.00895691,0.0053668
0.00848952,0.00992203,0.02977753
-0.01139903,-0.00160503,-0.02826929
-0.00297879,-0.01749706,0.00324428
0.04840551,-0.00090599,-0.0201112
0.02634037,0.03115368,0.02622306
-0.07091518,-0.01903534,-0.03575122
0.07222509,0.00317669,-0.01384318
0.05319007,0.00512314,-0.00014782
-0.15422432,-0.02596378,0.00406384
-0.08907488,-0.00408077,0.01645648
0.11851863,0.01669979,0.02979994
0.02463455,0.03142452,-0.02826715
0.04892631,-0.05629635,-0.02386379
-0.00314745,-0.02845383,0.07941639
-0.14214237,0.07548428,0.06885052
0.27483192,0.01133347,0.08765805
0.19019438,-0.02592945,0.0495851
